"carat","cut","color","clarity","depth","table","price","x","y","z"
1.54,"Premium","G","SI2",61.6,58,7287,7.45,7.3,4.57
1.13,"Ideal","I","VS2",62.3,56,5031,6.73,6.63,4.16
0.3,"Premium","I","VVS1",62.2,58,709,4.31,4.28,2.67
0.7,"Premium","D","SI2",62.1,60,2319,5.73,5.71,3.55
0.31,"Ideal","F","VS1",62.1,56,680,4.32,4.35,2.69
0.31,"Ideal","F","IF",62.1,56,979,4.33,4.36,2.7
0.34,"Ideal","G","VS2",61.7,56,596,4.48,4.53,2.78
0.81,"Premium","J","VS2",60.6,60,2129,6.04,6,3.65
0.34,"Ideal","F","VS1",60.9,57,723,4.53,4.56,2.77
0.31,"Premium","E","VVS1",61.8,59,1012,4.33,4.31,2.67
0.9,"Good","E","SI2",59.9,61,3660,6.16,6.2,3.7
0.55,"Ideal","D","VS2",62.8,57,1894,5.27,5.24,3.3
0.42,"Ideal","E","SI2",62.7,55.2,687,4.78,4.79,3
0.81,"Very Good","G","VS2",63.1,58,2994,5.88,5.84,3.7
0.51,"Premium","G","VVS1",60.2,58,1925,5.2,5.24,3.14
0.4,"Good","J","VS1",64,56,734,4.69,4.66,2.99
0.77,"Very Good","I","VS1",62.6,55,2501,5.85,5.9,3.68
0.4,"Fair","E","VVS2",57.3,60,1069,4.84,4.89,2.79
0.53,"Ideal","I","SI2",61.8,54,947,5.22,5.24,3.23
1.21,"Premium","G","VVS1",60.1,61,9003,6.92,6.85,4.14
1.02,"Premium","H","I1",62.5,60,3141,6.39,6.41,4
2.14,"Premium","I","VS2",59.3,59,15559,8.43,8.39,5
1.31,"Very Good","F","VS1",59.1,60,9797,7.13,7.18,4.23
0.41,"Premium","D","SI2",62.3,58,876,4.77,4.74,2.96
0.57,"Good","D","VS2",58.3,61,2015,5.42,5.45,3.17
1.3,"Premium","D","SI2",61.5,58,7044,6.98,6.91,4.27
0.41,"Premium","H","SI1",60,61,876,4.83,4.77,2.88
0.31,"Good","G","VS1",63.2,57,625,4.28,4.33,2.72
0.54,"Very Good","F","VS2",60.9,55,1639,5.25,5.31,3.21
0.43,"Good","G","SI2",58.8,61,661,4.92,4.94,2.9
0.58,"Ideal","D","SI2",61.7,54,1356,5.4,5.43,3.34
1.03,"Premium","E","VS2",62.5,59,6072,6.42,6.44,4.02
0.31,"Ideal","F","VVS1",61.8,56,897,4.34,4.36,2.69
0.35,"Premium","G","VS1",62.6,56,845,4.52,4.49,2.82
0.31,"Ideal","G","IF",61.9,54,891,4.35,4.38,2.7
0.71,"Ideal","I","SI1",62.6,54,2111,5.68,5.73,3.57
1.09,"Premium","I","VS2",61.3,58,4659,6.63,6.58,4.05
1.08,"Premium","H","VS1",62.5,60,5111,6.55,6.51,4.08
0.32,"Very Good","G","VS2",59.9,57,561,4.47,4.51,2.69
0.98,"Fair","G","SI2",66.6,56,3332,6.12,6.02,4.04
0.41,"Ideal","F","IF",62.3,55,1439,4.78,4.82,2.99
0.33,"Ideal","D","VVS2",60.9,57,955,4.46,4.48,2.72
1.01,"Ideal","E","VVS1",62,57,10954,6.39,6.45,3.98
0.46,"Good","I","VVS1",63.5,57,1089,4.85,4.91,3.1
1.02,"Ideal","G","VS2",62.6,57,5816,6.41,6.43,4.02
1.26,"Premium","I","SI2",60.1,59,5151,7,6.91,4.18
1.07,"Good","J","VS2",61.7,57.7,4602,6.55,6.58,4.05
1.51,"Premium","E","SI1",62.9,62,9647,7.31,7.21,4.57
0.61,"Ideal","F","VVS2",62.2,55,2634,5.42,5.45,3.38
1.23,"Ideal","H","SI2",62.1,55.9,6088,6.82,6.85,4.24
1.47,"Premium","G","SI2",61.8,58,7557,7.28,7.22,4.48
1.71,"Premium","H","SI1",58.1,59,9193,7.88,7.81,4.56
2.01,"Premium","H","SI1",61.3,59,17849,8.16,8.08,4.98
0.9,"Very Good","F","SI1",62.3,55,3950,6.14,6.18,3.84
1.06,"Ideal","H","SI1",62.7,57,4196,6.53,6.48,4.08
0.37,"Ideal","H","VVS1",61.4,55,815,4.64,4.67,2.86
0.33,"Ideal","F","VVS2",61.4,57,824,4.43,4.46,2.73
3.01,"Good","I","SI2",63.9,60,18242,9.06,9.01,5.77
0.41,"Ideal","J","VS1",62.2,54.5,674,4.75,4.76,2.96
0.58,"Ideal","H","VVS1",61.6,56,2006,5.35,5.39,3.31
1.23,"Ideal","I","VS1",61.5,56,6435,6.86,6.89,4.23
1.51,"Premium","F","SI1",62.2,58,11374,7.32,7.27,4.54
1.01,"Fair","I","VS2",68.7,58,3597,6.14,6,4.19
0.39,"Premium","J","VS1",61.6,59,616,4.67,4.71,2.89
0.34,"Ideal","G","VVS1",62.5,53,956,4.49,4.47,2.8
0.5,"Ideal","G","SI1",60.2,57,1857,5.16,5.2,3.12
0.24,"Ideal","F","VS2",61.8,57,417,3.97,4.02,2.47
1.5,"Fair","H","SI2",59.3,58,7098,7.31,7.37,4.35
0.62,"Very Good","D","VS2",59.2,59.1,2311,5.55,5.6,3.3
0.39,"Ideal","E","IF",62.5,57,1248,4.7,4.74,2.95
0.53,"Ideal","F","VVS2",62.3,56,2045,5.24,5.2,3.25
1.66,"Ideal","I","VS2",62.3,54,11156,7.58,7.61,4.73
0.52,"Ideal","E","VVS2",61.8,56,2430,5.15,5.18,3.19
0.38,"Ideal","E","VVS2",59.9,61,1008,4.71,4.74,2.83
1.06,"Good","I","SI2",58.7,60,3842,6.65,6.71,3.92
1,"Good","E","SI2",61,61,4394,6.37,6.44,3.91
1.01,"Ideal","E","SI2",59.2,56,4751,6.63,6.59,3.91
0.41,"Ideal","G","SI2",61.7,56,648,4.79,4.81,2.96
0.91,"Premium","F","SI1",61.7,59,4036,6.21,6.17,3.82
1.09,"Premium","G","IF",61.3,58,10065,6.64,6.6,4.06
0.32,"Ideal","F","IF",61.2,56,1204,4.41,4.45,2.71
1.13,"Premium","H","SI2",59.4,58,4350,6.74,6.8,4.02
1.11,"Premium","D","SI1",62,58,6962,6.68,6.64,4.13
0.5,"Good","J","VS2",63.2,60,965,5.01,5.06,3.18
0.36,"Premium","E","VS2",61.3,60,1013,4.59,4.54,2.8
0.41,"Premium","H","SI1",62.6,59,876,4.77,4.72,2.97
1,"Premium","G","VS1",60.9,60,6000,6.51,6.41,3.91
0.26,"Good","H","VVS2",63.3,58,468,4.04,4.08,2.57
0.23,"Very Good","D","VVS2",62.5,58,492,3.89,3.92,2.44
0.7,"Good","I","VS2",59.4,57,2234,5.77,5.82,3.44
0.72,"Ideal","G","SI2",62.6,52,2295,5.74,5.77,3.6
1.04,"Ideal","D","VS1",59.1,56,8341,6.65,6.59,3.91
2.22,"Very Good","I","SI1",62.4,55,17160,8.29,8.35,5.19
1.5,"Fair","G","SI1",64.5,57,10352,7.15,7.09,4.59
0.32,"Good","D","SI2",63.9,58,612,4.33,4.31,2.76
1.14,"Ideal","G","VS1",61.8,55,8121,6.71,6.76,4.16
1.41,"Very Good","J","VS1",59.4,59,7636,7.34,7.38,4.37
0.3,"Ideal","F","VVS1",61.9,57,814,4.3,4.32,2.67
2.11,"Premium","J","SI2",62,60,11663,8.19,8.24,5.09
0.74,"Very Good","G","SI1",63.5,60,2468,5.73,5.68,3.62
1.01,"Very Good","F","VVS2",59.8,58,8212,6.47,6.55,3.89
1,"Good","F","VVS2",56.5,63,7016,6.65,6.62,3.75
0.53,"Very Good","F","VS1",61.5,59,1821,5.19,5.22,3.2
0.42,"Premium","G","SI1",61.7,58,945,4.8,4.76,2.95
0.67,"Premium","D","SI2",62.9,56,1819,5.65,5.6,3.54
1.18,"Good","D","SI2",60.7,63,5168,6.77,6.81,4.12
0.88,"Very Good","E","SI2",59.1,58,3150,6.22,6.3,3.7
1.08,"Premium","F","SI2",60.2,59,4488,6.65,6.6,3.99
0.67,"Very Good","I","IF",61.4,56,2066,5.59,5.65,3.45
0.52,"Ideal","G","VS1",62.7,56,1689,5.14,5.16,3.23
0.51,"Ideal","D","VS1",60.7,57,1826,5.18,5.23,3.16
1.5,"Ideal","H","VS1",61,56.8,11557,7.36,7.4,4.5
0.29,"Ideal","H","VVS2",61.6,55,607,4.27,4.29,2.64
0.57,"Ideal","D","SI1",61.4,55,1810,5.35,5.34,3.28
0.4,"Premium","H","VVS2",60.9,58,1125,4.79,4.74,2.9
2.01,"Ideal","I","VS2",64.8,55,15729,7.91,7.87,5.12
0.4,"Ideal","D","VVS2",62.2,55,1263,4.72,4.74,2.94
0.3,"Ideal","D","SI2",63,55,574,4.26,4.25,2.68
1.01,"Premium","H","VS2",61.5,59,5303,6.48,6.49,3.99
1.01,"Very Good","F","VS2",59.9,61,5988,6.46,6.5,3.88
0.34,"Very Good","G","VS1",61.7,60,686,4.45,4.49,2.76
0.7,"Very Good","F","SI1",60.3,57,2343,5.73,5.77,3.47
1.25,"Premium","D","SI1",62.4,58,7924,6.89,6.83,4.28
1.52,"Premium","G","I1",61.7,58,3820,7.43,7.34,4.56
0.54,"Premium","D","SI1",62.6,57,1650,5.21,5.12,3.23
0.52,"Ideal","G","VVS1",60.6,57,2387,5.21,5.26,3.17
1,"Premium","E","VS2",61.8,59,6600,6.38,6.41,3.95
1.23,"Ideal","H","SI2",60.6,57,5951,6.98,6.94,4.22
0.38,"Ideal","D","VVS2",61.3,56,1257,4.73,4.63,2.87
0.42,"Premium","G","VVS1",60.2,59,1235,4.84,4.82,2.91
0.77,"Ideal","D","VS2",61.1,57,3837,5.93,5.96,3.63
0.3,"Premium","F","VS2",61.1,59,605,4.29,4.32,2.63
0.32,"Ideal","I","VVS2",61.5,56,561,4.4,4.42,2.71
0.32,"Ideal","G","VVS2",62.4,56,936,4.42,4.4,2.75
0.9,"Good","F","SI1",64,59,3696,5.97,5.99,3.83
2.01,"Premium","J","VS1",60.2,61,12963,8.23,8.16,4.93
0.44,"Premium","D","VS1",60.2,59,1232,4.93,4.91,2.96
1.21,"Fair","H","SI1",69.6,55,3862,6.49,6.42,4.49
0.36,"Premium","I","VS1",60.3,60,729,4.64,4.58,2.78
1.53,"Very Good","F","VS1",60.3,58,15079,7.48,7.51,4.52
0.3,"Ideal","E","VS2",61.8,56,844,4.34,4.3,2.67
1.63,"Premium","I","VS2",61,60,10479,7.62,7.59,4.64
1.27,"Premium","H","VS2",62.1,60,7219,6.94,6.88,4.29
0.48,"Very Good","D","IF",60.6,55,2677,5.08,5.12,3.09
0.4,"Ideal","F","IF",61.9,54,1406,4.75,4.81,2.96
0.32,"Ideal","H","VVS1",61.9,54,708,4.4,4.42,2.73
1.02,"Ideal","G","VVS2",62.1,54,8847,6.54,6.51,4.05
0.9,"Good","H","SI2",64.3,58,3114,5.97,6.03,3.86
0.32,"Fair","D","VVS1",62.4,61,875,4.38,4.44,2.75
1.52,"Premium","D","SI2",62.8,58,8631,7.37,7.28,4.6
0.35,"Very Good","D","SI1",63.3,57,827,4.53,4.51,2.86
0.26,"Very Good","F","SI1",61.4,56,401,4.13,4.16,2.54
0.32,"Ideal","G","IF",61.9,55,918,4.38,4.44,2.73
1.5,"Premium","F","VS1",59.6,60,15478,7.49,7.41,4.44
0.3,"Good","G","VS1",63.6,55,776,4.29,4.26,2.72
0.57,"Ideal","E","VS1",60.5,57,1884,5.33,5.38,3.24
0.56,"Very Good","F","SI1",60,57,1679,5.41,5.38,3.24
0.8,"Ideal","D","SI1",62.7,57,3564,5.88,5.92,3.7
0.34,"Ideal","G","IF",61.9,54,1014,4.46,4.49,2.77
0.38,"Premium","E","VVS1",61.9,58,1267,4.62,4.66,2.87
1.04,"Premium","D","VS1",60.8,58,7041,6.53,6.5,3.96
1.3,"Very Good","H","SI2",62.8,58,6140,6.93,7.01,4.38
0.71,"Ideal","D","VS2",60.1,56,4029,5.77,5.83,3.48
0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
1.31,"Premium","I","SI1",62,58,5282,7.01,6.98,4.34
0.27,"Ideal","E","VS2",60.8,56,537,4.25,4.23,2.58
0.31,"Ideal","D","VVS2",61.2,59,805,4.37,4.39,2.68
0.29,"Very Good","F","VVS1",59.8,61,609,4.31,4.35,2.59
0.31,"Good","H","VVS2",63.6,56,625,4.28,4.33,2.74
1.11,"Ideal","I","SI1",61.7,57,6090,6.61,6.64,4.09
1.51,"Premium","E","SI1",60.6,59,12738,7.45,7.41,4.5
0.7,"Ideal","F","SI2",60.6,57.2,2237,5.75,5.77,3.49
0.77,"Ideal","E","SI2",62,54,2563,5.89,5.92,3.66
0.4,"Ideal","F","VVS2",62.9,55,1039,4.75,4.72,2.98
0.46,"Very Good","G","VS2",61.3,56,1172,4.98,5,3.06
1.01,"Premium","E","VS1",60.8,59,7964,6.46,6.42,3.92
0.29,"Very Good","G","VVS1",62,58,522,4.19,4.23,2.61
0.54,"Ideal","E","VS2",62.8,55,1713,5.21,5.24,3.28
0.54,"Ideal","G","SI1",61.5,55.1,1395,5.25,5.27,3.23
1,"Good","G","VS2",63.1,61,5702,6.33,6.38,4.01
1.01,"Good","H","SI1",63.4,59,4749,6.28,6.34,4
0.32,"Very Good","G","VS1",62.9,57,645,4.37,4.4,2.76
0.64,"Ideal","D","VS1",61.5,56,2787,5.54,5.55,3.41
0.5,"Very Good","F","VS2",60.6,58,1436,5.07,5.12,3.09
1.2,"Good","D","SI2",62.2,65,6344,6.75,6.7,4.18
0.71,"Ideal","E","VS1",61.4,59,3198,5.71,5.75,3.52
0.56,"Ideal","F","VVS1",62.1,56,2510,5.29,5.3,3.29
0.74,"Premium","E","SI1",61.4,57,2042,5.83,5.79,3.57
0.52,"Premium","G","SI2",58.8,62,1196,5.31,5.3,3.12
1.55,"Ideal","F","SI2",61.9,55,10937,7.44,7.4,4.6
0.9,"Very Good","H","SI2",61.1,63,3105,6.19,6.12,3.76
1.2,"Premium","F","VS2",61.4,58,6182,6.8,6.75,4.16
0.31,"Good","G","VVS2",63.1,57,707,4.3,4.32,2.72
0.7,"Good","D","SI1",63.6,60,2512,5.59,5.51,3.51
0.5,"Very Good","D","SI1",58.8,60,1436,5.17,5.23,3.06
1.5,"Ideal","F","SI1",61.8,56,12389,7.27,7.34,4.52
0.75,"Very Good","D","SI1",63.9,56,3085,5.73,5.75,3.67
0.33,"Very Good","G","VS2",59.3,61,579,4.49,4.51,2.67
1.5,"Premium","H","I1",60.1,57,3457,7.4,7.28,4.42
1.32,"Ideal","G","VS1",61.4,54,9715,7.09,7.13,4.37
1.2,"Good","F","SI2",59,60,5514,6.9,6.97,4.09
0.7,"Good","F","SI1",61.1,61,2445,5.68,5.71,3.48
0.33,"Premium","I","VS2",60.6,58,463,4.44,4.47,2.7
1.2,"Premium","G","SI2",59.9,59,5250,6.92,6.98,4.16
0.41,"Very Good","H","SI1",62.9,55,683,4.75,4.82,3.01
0.71,"Ideal","I","VS1",61.3,57,2965,5.73,5.76,3.52
0.71,"Very Good","G","SI2",63.4,56,2086,5.68,5.62,3.58
0.32,"Good","F","SI2",63.5,56,421,4.35,4.37,2.77
1.01,"Premium","J","SI2",59.3,56,2683,6.51,6.45,3.84
0.91,"Good","G","SI2",63.6,59,3282,6.15,6.11,3.9
1.5,"Fair","H","SI2",66,64,5000,7.1,6.97,4.64
1.61,"Premium","J","SI2",62.2,59,7245,7.52,7.47,4.66
0.9,"Premium","F","SI2",60.6,59,3951,6.27,6.21,3.78
0.43,"Ideal","E","VS2",62.8,56,1048,4.86,4.79,3.03
1.05,"Very Good","G","SI2",62.6,62,4516,6.45,6.49,4.05
0.33,"Very Good","F","SI1",60.9,54,588,4.47,4.52,2.73
1.01,"Premium","G","SI1",59.2,59,4260,6.52,6.58,3.88
0.41,"Ideal","F","VS2",62.1,56,863,4.74,4.79,2.96
0.75,"Good","E","SI2",59.7,62,2497,5.85,5.88,3.5
0.72,"Very Good","D","SI1",60.5,57,3102,5.85,5.89,3.55
0.42,"Ideal","D","VVS2",61.7,57,1132,4.8,4.82,2.97
0.31,"Premium","G","VS1",62.9,58,802,4.35,4.3,2.72
1,"Very Good","F","SI2",63.3,58,4269,6.26,6.29,3.97
1.56,"Very Good","I","VS2",59.7,60,9231,7.53,7.58,4.51
0.3,"Premium","D","SI1",62.1,59,662,4.31,4.29,2.67
0.42,"Premium","G","VS1",60.8,59,984,4.85,4.79,2.93
0.55,"Ideal","E","SI1",61.7,56,1668,5.29,5.24,3.25
